"SECTION A — USDA NBFDS: Currently Listed Bioengineered (BE) Crops (7 CFR Part 66, Appendix A)",,,,,,
Crop / Substance,Common Use in CPG,Disclosure Required?,"Refined Ingredient Note
(highly refined exemption)","Non-GMO Verification
Required For Claim","EU Status
(Reg EC 1829/2003)","Key PCR Target
Genes / Events"
Alfalfa,Animal feed (not direct CPG),YES — if used directly in food,N/A (alfalfa in food is uncommon),IP CoA + PCR (qualitative),Authorised: consult EC register,RR gene (CP4 EPSPS)
Apple (non-browning),"Fresh cut apple products, fruit prep",YES — if Okanagan Arctic Apple variety,Not highly refined — disclosure mandatory,Non-GMO Project or USDA Organic cert,Authorised: Arctic® apple events,PPO suppression gene
Canola / Rapeseed,"Canola oil, emulsifiers, lecithin","YES for whole or minimally processed canola
Highly refined oil: verify per AMS guidance",Highly refined canola oil likely no detectable modified material — AMS guidance applies,IP CoA + quantitative PCR (ISO 21570),"Authorised: GT73, Ms8/Rf3, T45 events","CP4 EPSPS, pat/bar genes"
Corn (Maize),"HFCS, corn starch, corn flour, corn oil, masa","YES — corn and most corn derivatives require disclosure
Highly refined corn oil: verify per AMS","Starch, flour, meal: disclosure required
Corn oil (highly refined): AMS guidance may exempt",IP CoA + quantitative PCR per lot,"Authorised: multiple events (MON810, NK603, etc.)","Cry1Ab, Cry3Bb, CP4 EPSPS, pat gene"
Cotton,Cottonseed oil (frying),YES for cottonseed and products,Highly refined cottonseed oil: AMS guidance may exempt,IP CoA if Non-GMO claim,Authorised: multiple Bt cotton events,"Cry1Ac, CP4 EPSPS"
Eggplant (Bt Brinjal),Vegetable in South Asian CPG,YES if Bt Brinjal variety,Not used in refined form,Source documentation from farm,NOT authorised in EU,Cry1Ac
Papaya (PRSV-resistant),"Dried papaya, fruit products",YES — SunUp and Rainbow varieties are BE,Not highly refined — disclosure mandatory,Source documentation; Non-GMO variety spec,Pending EU authorisation (prohibited as of 2026),PRSV coat protein gene
Pineapple (pink flesh),Pink pineapple products (Rosé variety),YES — ArcticPink® pineapple is BE,Not highly refined,Variety documentation,Status: pending EU review,Lycopene gene insert
Potato,"Potato starch, dried potato, crisps",YES — Innate® varieties are BE,Potato starch: disclosure required,Non-GMO variety spec + PCR,NOT authorised in EU,"RNAi for PPO, VInv genes"
Salmon (AquAdvantage),Farmed salmon products,YES — AquAdvantage GM salmon,N/A — not refined,Wild-caught certification or species verification,NOT authorised in EU,GH gene construct
Soybean,"Soy protein, soy lecithin, soybean oil, tofu, miso","YES for most soy-derived ingredients
Highly refined soybean oil: AMS guidance may exempt","SPI, lecithin: disclosure required (retain DNA/protein)
Soybean oil: verify per AMS",Non-GMO Project Verified + IP CoA + PCR per lot,"Authorised: multiple events (MON40-3-2, GTS40-3-2, etc.)","CP4 EPSPS, EPSPS gene"
Sugar Beet,"Refined beet sugar, beet molasses","YES for sugar beet and direct products
Highly refined white sugar: verify per AMS — modified DNA unlikely detectable","Refined white sugar: AMS guidance typically exempts (no detectable modified material)
Molasses: disclosure may apply",IP CoA for Non-GMO claim on sugar,Authorised: H7-1 event,CP4 EPSPS gene
Summer Squash,Squash in processed foods,"YES for BE squash varieties (ZW-20, CZW-3)",Not highly refined — disclosure required,Non-GMO variety documentation,NOT authorised in EU,"CP4 EPSPS, WMV / ZYMV coat protein"
,,,,,,
SECTION B — NBFDS ACCEPTABLE DISCLOSURE METHODS  (7 CFR 66.100–66.116),,,,,,
Disclosure Method,Description,,Requirements,,Who May Use,Practical Note
